CLIENT.IDENTIFIER,Rank
R1_1,1Pos Area
R1_2,2Pos Area
R1_4,3Pos Area
R2_1,4Pos Area
R2_2,5Pos Area
R2_4,6Pos Area
R3_1,7Pos Area
R3_2,8Pos Area
R3_3,9Pos Area
R4_1,10Pos Area
R4_2,11Pos Area
R4_3,12Pos Area
R4_4,13Pos Area
R5_1,14Pos Area
R5_4,15Pos Area
R6_1,16Pos Area
R6_2,17Pos Area
R6_3,18Pos Area
R7_1,19Pos Area
R7_2,20Pos Area
R7_3,21Pos Area
R7_4,22Pos Area
R8_1,23Pos Area
R8_2,24Pos Area
R8_3,25Pos Area
R8_4,26Pos Area
R9_1,27Pos Area
R9_1B,28Pos Area
R9_2,29Pos Area
R9_3,30Pos Area
R9_4,31Pos Area
R10_1,32Pos Area
R10_3,33Pos Area
R10_4,34Pos Area
R11_1,35Pos Area
R12_1,36Pos Area
R12_2,37Pos Area
R12_3,38Pos Area
R13_1,39Pos Area
R13_2,40Pos Area
R13_3,41Pos Area
R14_1,42Pos Area
R14_2,43Pos Area
R14_3,44Pos Area
R15_1,45Pos Area
